global_key,image_url,mission,split
DJI_20240911145743_0030_V_984zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111441_010_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911145743_0030_V_984zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911145743_0030_V_984zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111441_010_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911145743_0030_V_984zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911150146_0042_V_2012zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111441_010_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911150146_0042_V_2012zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911150230_0044_V_2003zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111441_010_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911150230_0044_V_2003zoom.JPG,20240911_bcifairchild_wptsendero_m3e,valid
DJI_20240911150316_0046_V_1999zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111441_010_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911150316_0046_V_1999zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911150402_0048_V_2253zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111441_010_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911150402_0048_V_2253zoom.JPG,20240911_bcifairchild_wptsendero_m3e,
DJI_20240911150443_0050_V_2240zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111441_010_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911150443_0050_V_2240zoom.JPG,20240911_bcifairchild_wptsendero_m3e,
DJI_20240911150530_0052_V_2230zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111441_010_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911150530_0052_V_2230zoom.JPG,20240911_bcifairchild_wptsendero_m3e,valid
DJI_20240911150616_0054_V_2815zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111441_010_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911150616_0054_V_2815zoom.JPG,20240911_bcifairchild_wptsendero_m3e,
DJI_20240911151711_0002_V_2550zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911151711_0002_V_2550zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911151800_0004_V_2536zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911151800_0004_V_2536zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911151847_0006_V_2549zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911151847_0006_V_2549zoom.JPG,20240911_bcifairchild_wptsendero_m3e,
DJI_20240911151933_0008_V_2817zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911151933_0008_V_2817zoom.JPG,20240911_bcifairchild_wptsendero_m3e,test
DJI_20240911151933_0008_V_2817zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911151933_0008_V_2817zoom.JPG,20240911_bcifairchild_wptsendero_m3e,test
DJI_20240911151933_0008_V_2817zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911151933_0008_V_2817zoom.JPG,20240911_bcifairchild_wptsendero_m3e,test
DJI_20240911152021_0010_V_2538zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152021_0010_V_2538zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911152111_0012_V_3345zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152111_0012_V_3345zoom.JPG,20240911_bcifairchild_wptsendero_m3e,
DJI_20240911152158_0014_V_3337zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152158_0014_V_3337zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911152253_0016_V_3599zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152253_0016_V_3599zoom.JPG,20240911_bcifairchild_wptsendero_m3e,test
DJI_20240911152340_0018_V_3078zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152340_0018_V_3078zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911152429_0020_V_3318zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152429_0020_V_3318zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911152522_0022_V_3331zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152522_0022_V_3331zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911152608_0024_V_3572zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152608_0024_V_3572zoom.JPG,20240911_bcifairchild_wptsendero_m3e,
DJI_20240911152653_0026_V_3813zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152653_0026_V_3813zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911152739_0028_V_3809zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152739_0028_V_3809zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911152829_0030_V_4297zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152829_0030_V_4297zoom.JPG,20240911_bcifairchild_wptsendero_m3e,valid
DJI_20240911152909_0032_V_4303zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152909_0032_V_4303zoom.JPG,20240911_bcifairchild_wptsendero_m3e,train
DJI_20240911152947_0034_V_4532zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911152947_0034_V_4532zoom.JPG,20240911_bcifairchild_wptsendero_m3e,
DJI_20240911153023_0036_V_4301zoom.JPG,https://object-arbutus.cloud.computecanada.ca/20240911_bcifairchild_wptsendero_m3e/DJI_202409111511_011_20240909bcinfairchildtrailsm3ewaypointsall20240911T143032/DJI_20240911153023_0036_V_4301zoom.JPG,20240911_bcifairchild_wptsendero_m3e,
